simplified_chinese,traditional_chinese,pinyin,english_meaning,part_of_speech,hsk_level,example_sentence_chinese,example_sentence_pinyin,example_sentence_english
帮忙,幫忙,bāng máng,giúp đỡ/giúp đỡ/làm ơn/làm việc tốt,,1,有你帮忙我就放心了。,Yǒu nǐ bāngmáng wǒ jiù fàngxīn le.,Có bạn giúp thì tôi yên tâm rồi.
包,包,bāo,"bao phủ/gói/giữ/bao gồm/chịu trách nhiệm/ký hợp đồng (với hoặc cho)/gói/giấy gói/hộp đựng/túi/giữ hoặc ôm/bó/gói/CL:個|个[ge4],隻|只[zhi1]",N/M/V,1,我的包丢了。,Wǒ de bāo diū le.,Cái túi của tôi bị mất rồi.
包子,包子,bāo zi,bao (bánh nhồi hấp)/CL:個|个[ge4],N,1,我喜欢吃包子。,Wǒ xǐhuān chī bāozi.,Tôi thích ăn bánh bao.
杯,"杯,桮,盃",bēi,"biến thể của 杯[bei1]/cốc cúp/bộ phân loại cho một số vật chứa chất lỏng: thủy tinh, cốc",M,1,,,
北,北,běi,bắc/(cổ điển) bị đánh bại,N,1,,,
北边,北邊,běi biān,phía bắc/phía bắc/phần phía bắc/phía bắc của,N,1,,,
北京,北京,běi jīng,"Bắc Kinh, thủ đô của Cộng hòa Nhân dân Trung Hoa",N,1,北京很大。,Běijīng hěn dà.,Bắc Kinh thì lớn.
杯子,杯子,bēi zi,"cốc/ly/CL:個|个[ge4],隻|只[zhi1]",N,1,,,
本,本,běn,"gốc/gốc/nguồn gốc/nguồn/cái này/cái hiện tại/bản gốc/bản chất/ban đầu/phân loại cho sách, tạp chí, tệp, v.v.",M,1,这本书很有趣。,Zhè běn shū hěn yǒuqù.,Quyển sách này rất thú vị.
本子,本子,běn zi,"sách/sổ tay/truyện tranh tự xuất bản theo phong cách Nhật Bản (đặc biệt là truyện khiêu dâm), còn gọi là ""dōjinshi""/CL:本[ben3]/phiên bản",N,1,,,
比,比,bǐ,so sánh/(theo sau là danh từ và tính từ) hơn {adj.} so với {danh từ}/tỷ lệ/với cử chỉ/(tiếng Đài Loan [bi4] trong một số hợp chất bắt nguồn từ tiếng Hán cổ điển),Prep/V,1,我的家比你的家大。,Wǒ de jiā bǐ nǐ de jiā dà.,Nhà của tôi lớn hơn nhà của bạn.
别,"別,彆",bié,"để khiến ai đó thay đổi cách sống, quan điểm, v.v.",Adv,1,别忘带钥匙。,Bié wàng dài yàoshi.,Đừng quên mang theo chìa khóa.
别的,別的,bié de,khác/khác,Pron,1,,,
别人,別人,bié rén,những người khác; những người khác; người khác,Pron,1,别人的意见很重要。,Biérén de yìjiàn hěn zhòngyào.,Ý kiến của người khác rất quan trọng.
病,病,bìng,bệnh/CL:場|场[chang2]/bệnh/bị bệnh/khiếm khuyết,N/V,1,,,
病人,病人,bìng rén,người bệnh/bệnh nhân/không hợp lệ/CL:個|个[ge4],N,1,,,
不大,不大,bù dà,không nhiều/không quá/không thường xuyên,,1,,,
不对,不對,bú duì,không đúng/sai/không ổn/bất thường/kỳ lạ,Adj,1,,,
不,不,bù,không; không như vậy/(dạng ràng buộc) không; không-,Adv,1,他不喜欢吃鱼。,Tā bù xǐhuān chī yú.,Anh ấy không thích ăn cá.
不客气,不客氣,bú kè qì,không có gì/đừng nhắc đến nó/bất lịch sự/thô lỗ/thẳng thừng,,1,不客气。,bú kèqì.,Không có gì.
不用,不用,bù yòng,không cần,Adv,1,,,
菜,菜,cài,"rau quả; rau xanh (CL:棵[ke1])/món (thức ăn) (CL:樣|样[yang4],道[dao4],盤|盘[pan2])/(kỹ năng của một người, v.v.) yếu; loại nghèo/(coll.) (của một người)",N,1,我喜欢吃菜。,Wǒ xǐhuān chī cài.,Tôi thích ăn rau.
茶,茶,chá,"trà/cây trà/CL:杯[bei1],壺|壶[hu2]",N,1,我喝茶。,Wǒ hē chá.,Tôi uống trà.
差,差,chà,được sử dụng trong 參差|参差[cen1 ci1],V/Adj,1,今天的天气很差。,Jīntiān de tiānqì hěn chà.,Thời tiết hôm nay rất tệ.
常,常,cháng,luôn luôn/luôn luôn/thường xuyên/thường xuyên/phổ biến/chung chung/hằng số,Adv,1,,,
唱,唱,chàng,hát/gọi to/hát thánh ca,V,1,,,
常常,常常,cháng cháng,thường xuyên/thường xuyên,Adv,1,,,
唱歌,唱歌,chàng gē,hát một bài hát,,1,我喜欢唱歌。,Wǒ xǐhuān chànggē.,Tôi thích hát.
车,車,chē,chiến xa (cổ)/xe (trong cờ tướng)/xe (trong cờ vua),N,1,,,
车上,車上,chē shàng,trong thẻ,,1,,,
车票,車票,chē piào,vé (cho xe buýt hoặc tàu hỏa),N,1,,,
车站,車站,chē zhàn,"ga xe lửa/trạm xe buýt/CL:處|处[chu4],個|个[ge4]",N,1,,,
吃,"吃,喫",chī,biến thể của 吃[chi1],V,1,我吃苹果。橘子,Wǒ chī píngguǒ.,Tôi ăn táo.
吃饭,吃飯,chī fàn,có một bữa ăn/ăn/kiếm sống,,1,,,
出,"出,齣",chū,biến thể của 出[chu1] (phân loại cho vở kịch hoặc chương của tiểu thuyết cổ điển),V,1,我们出去玩吧。,Wǒmen chūqù wán ba.,Chúng ta ra ngoài chơi đi.
出来,出來,chū lái,"(sau động từ, biểu thị sự xuất hiện, hoàn thành một hành động hoặc khả năng nhận biết hoặc phát hiện)",,1,,,
出去,出去,chū qù,đi ra ngoài,,1,,,
穿,穿,chuān,mặc/mặc/mặc/khoan xuyên qua/đâm thủng/đục lỗ/xuyên qua/xâu chuỗi,V,1,你穿的衣服很漂亮。,Nǐ chuān de yīfú hěn piàoliang.,Quần áo bạn mặc rất đẹp.
床,"床,牀",chuáng,biến thể của 床[chuang2],N,1,,,
次,次,cì,"tiếp theo trong chuỗi/giây/giây (ngày, giờ, v.v.)/thứ cấp/thứ yếu/thứ yếu/thứ yếu/chất lượng thấp/kém hơn/tiêu chuẩn/thứ tự/chuỗi/giảm (hóa học)/phân loại cho các sự kiện được liệt kê: thời gian",M,1,这是我第一次来这里。,Zhè shì wǒ dì yī cì lái zhèlǐ.,Đây là lần đầu tiên tôi đến đây.
从,從,cóng,từ; xuyên qua; qua/(dạng ràng buộc) theo/(dạng ràng buộc) tuân theo/(dạng ràng buộc) tham gia vào (một hoạt động)/(dạng phủ định) bao giờ/(dạng ràng buộc) (tiếng Đài Loan [zong4]) người hầu cận; người phục vụ/(dạng ràng buộc) (tiếng Đài Loan [zong4]) trợ lý; phụ tá; cấp dưới/(dạng ràng buộc) (tiếng Đài Loan [zong4]) có quan hệ họ hàng với ông nội chung hoặc tổ tiên trước đó,Prep,1,他从早上工作到晚上。,Tā cóng zǎoshang gōngzuò dào wǎnshang.,Anh ấy làm việc từ sáng đến tối.
错,錯,cuò,lỗi/sai/xấu/liên kết/phức tạp/mài/đánh bóng/thay thế/lắc lư/bỏ lỡ/để trượt/tránh né/khảm vàng hoặc bạc,Adj/N,1,他做错了一个题。,Tā zuò cuòle yīgè tí.,Anh ấy đã làm sai một bài tập.
打,打,dǎ,đánh bại/đánh/đánh trúng/phá vỡ/gõ/trộn/xây dựng/chiến đấu/lấy/làm/trói buộc/phát hành/bắn/tính toán/chơi (một trò chơi)/kể từ/từ,V,1,,,
打车,打車,dǎ chē,đi taxi (trong thị trấn)/đi nhờ xe,,1,,,
大,大,dà,xem 大夫[dai4 fu5],Adj,1,这件衣服很大。,Zhè jiàn yīfu hěn dà.,Cái áo này rất to.
打电话,打電話,dǎ diàn huà,để thực hiện một cuộc gọi điện thoại,,1,她给我打电话。,Tā gěi wǒ dǎ diànhuà.,Cô ấy gọi điện cho tôi.
打开,打開,dǎ kāi,mở/hiển thị (vé)/bật/bật,,1,,,
打球,打球,dǎ qiú,chơi bóng/chơi với bóng,,1,,,
大学,大學,dà xué,đại học/cao đẳng/CL:所[suo3],N,1,,,
大学生,大學生,dà xué shēng,sinh viên đại học/sinh viên cao đẳng,N,1,,,
到,到,dào,đạt tới; đến/rời đi; đi tới/đến (một nơi); cho đến (một thời điểm); lên đến (một điểm)/(bổ ngữ động từ chỉ việc đến một nơi hoặc đạt đến một điểm)/chu đáo; chu đáo; kỹ lưỡng,V,1,我们今天到学校了。,Wǒmen jīntiān dào xuéxiào le.,Hôm nay chúng tôi đã đến trường.
得到,得到,dé dào,để có được; để có được; để nhận được,,1,,,
的,的,de,(dạng ràng buộc) mắt bò; mục tiêu,Aux,1,这是我的书。,Zhè shì wǒ de shū.,Đây là sách của tôi.
等,等,děng,chờ đợi; chờ đợi/vào thời điểm; khi nào; cho đến khi/và vân vân; v.v.; et al./(dạng ràng buộc) lớp; cấp bậc; bậc/(dạng ràng buộc) bằng với; giống như/(dùng để kết thúc một phép liệt kê)/(văn học) (hậu tố số nhiều gắn vào đại từ nhân xưng hoặc danh từ),V,1,我们等你来。,Wǒmen děng nǐ lái.,Chúng tôi đợi bạn đến.
第,第,dì,"(tiền tố chỉ số thứ tự, như trong 第六[di4 liu4] ""thứ sáu"")/(văn học) các cấp mà các ứng viên trúng tuyển trong kỳ thi tuyển của triều đình được xếp vào/(cũ) nơi cư trú của một quan chức cấp cao/(văn học) nhưng; tuy nhiên/(văn học) chỉ; chỉ",,1,,,
地,地,dì,đất/mặt đất/cánh đồng/nơi chốn/đất đai/CL:片[pian4],Aux,1,请慢慢地说。,Qǐng mànmàn de shuō.,Xin hãy nói chậm lại.
地,地,dì,đất/mặt đất/cánh đồng/nơi chốn/đất đai/CL:片[pian4],Aux,1,请慢慢地说。,Qǐng mànmàn de shuō.,Xin hãy nói chậm lại.
弟弟,弟弟,dì dì,"em trai/CL:個|个[ge4],位[wei4]",,1,弟弟在玩玩具。,Dìdì zài wán wánjù.,Em trai đang chơi đồ chơi.
地点,地點,dì diǎn,địa điểm/địa điểm/địa điểm/địa điểm/CL:個|个[ge4],N,1,会议地点在这里。,Huìyì dìdiǎn zài zhèlǐ.,Địa điểm cuộc họp ở đây.
地方,地方,dì fāng,"khu vực/địa điểm/không gian/phòng/lãnh thổ/CL:處|处[chu4],個|个[ge4],塊|块[kuai4]",N,1,这个地方很好玩。,Zhège dìfāng hěn hǎowán.,Nơi này rất vui.
地上,地上,dì shàng,trên mặt đất/trên sàn nhà,,1,,,
地图,地圖,dì tú,"map/CL:張|张[zhang1],本[ben3]",N,1,你有这座城市的地图吗？,Nǐ yǒu zhè zuò chéngshì de dìtú ma?,Bạn có bản đồ của thành phố này không?
电,電,diàn,"sét/điện/điện (dạng ràng buộc)/nhận (hoặc cho) một cú sốc điện/cuộc gọi điện thoại hoặc điện tín, v.v./gửi qua điện thoại hoặc điện tín, v.v.",N,1,,,
点,點,diǎn,trỏ/chấm/thả/vết/giờ/điểm (trong không gian hoặc thời gian)/vẽ một chấm/kiểm tra danh sách/lựa chọn/gọi món (thức ăn trong nhà hàng)/chạm nhẹ/gợi ý/đốt sáng/đốt cháy/rót từng giọt chất lỏng/(cũ) một phần năm của đồng hồ hai giờ 更[geng1]/vết chấm trong chữ Hán/phân loại các mục,M/V/N,1,现在是三点。,Xiànzài shì sān diǎn?,Bây giờ là 3 GIỜ
电话,電話,diàn huà,điện thoại/CL:部[bu4]/cuộc gọi điện thoại/CL:通[tong1]/số điện thoại,N,1,,,
电脑,電腦,diàn nǎo,máy tính/CL:臺|台[tai2],N,1,我用电脑。,Wǒ yòng diànnǎo.,Tôi dùng máy tính.
电视,電視,diàn shì,"tivi; TV/CL:臺|台[tai2],個|个[ge4]",N,1,电视很大。,Diànshì hěn dà.,Tivi thì lớn.
电视机,電視機,diàn shì jī,tivi/CL:臺|台[tai2],N,1,,,
电影,電影,diàn yǐng,"bộ phim; film/CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]",N,1,我喜欢看电影。,Wǒ xǐhuān kàn diànyǐng.,Tôi thích xem phim.
电影院,電影院,diàn yǐng yuàn,"rạp chiếu phim; rạp chiếu phim/CL:家[jia1],座[zuo4]",N,1,,,
动,動,dòng,"(của cái gì) di chuyển/bắt đầu chuyển động/thay thế/chạm vào/sử dụng/khuấy động (cảm xúc)/thay đổi/viết tắt cho 動詞|动词[dong4 ci2], động từ",V,1,,,
东,東,dōng,phía đông/chủ nhà (tức là ngồi ở phía đông của khách)/chủ nhà,N,1,东边有一座山。,Dōngbiān yǒu yī zuò shān.,Phía đông có một ngọn núi.
东边,東邊,dōng biān,phía đông/phía đông/phía đông/phía đông của,N,1,,,
东西,東西,dōng xī,"vật/thứ/người/CL:個|个[ge4],件[jian4]",N,1,这是什么东西？,Zhè shì shénme dōngxī?,Đây là cái gì?
动作,動作,dòng zuò,chuyển động; chuyển động; hành động (CL:個|个[ge4])/hành động; di chuyển,N,1,他的动作很快。,Tā de dòngzuò hěn kuài.,Hành động của anh ấy rất nhanh.
都,都,dōu,thủ đô/thành phố lớn,Adv,1,我们都去学校。,Wǒmen dōu qù xuéxiào.,Chúng tôi đều đi đến trường.
读,讀,dú,đọc to; đọc to/đọc/tham dự (trường học); học (một môn học ở trường)/phát âm,V,1,她在读书。,,Cô ấy đọc sách rất nhanh.
读书,讀書,dú shū,đọc sách/học/đi học,,1,,,
对,對,duì,đúng; đúng/hướng tới; tại; cho/liên quan; liên quan đến/đối xử (với ai đó theo một cách nhất định)/đối mặt/(dạng ràng buộc) đối diện; đối mặt; khớp/phù hợp với nhau; điều chỉnh/vừa vặn; phù hợp/trả lời; trả lời/thêm; đổ vào (chất lỏng)/kiểm tra; so sánh/phân loại: cặp; cặp đôi,Adj,1,你对我很好。,Nǐ duì wǒ hěn hǎo.,Bạn đối xử tốt với tôi.
对不起,對不起,duì bù qǐ,Tôi xin lỗi; xin lỗi; tôi cầu xin sự tha thứ của bạn/làm (ai) thất vọng; làm thất vọng,V,1,对不起，我迟到了。,"Duìbuqǐ, wǒ chídào le.","Xin lỗi, tôi đến muộn."
多,多,duō,nhiều; nhiều/quá nhiều; quá mức/(sau một con số) ... lẻ/như thế nào (đến mức nào) (tiếng Đài Loan [duo2])/(dạng liên kết) nhiều-; nhiều-,Adj/Pron,1,我有很多书。,Wǒ yǒu hěn duō shū.,Tôi có nhiều sách.
多少,多少,duō shǎo,"bao nhiêu?; bao nhiêu?/(số điện thoại, thẻ sinh viên, v.v.) số nào?",Pron,1,这本书多少钱？,Zhè běn shū duōshǎo qián?,Quyển sách này bao nhiêu tiền?
饿,餓,è,đói/đói/chết đói (ai đó),Adj/V,1,我饿了，想吃饭。,"Wǒ è le, xiǎng chī fàn.","Tôi đói rồi, muốn ăn cơm."
二,二,èr,hai/2/(phương ngữ Bắc Kinh) ngu ngốc,Num,1,我喜欢“二”数字。,"Wǒ xǐhuān ""èr"" shùzi",Tôi thích số 2.
儿子,兒子,ér zi,con trai,N,1,,,
饭,飯,fàn,cơm nấu/CL:碗[wan3]/bữa/CL:頓|顿[dun4]/(từ mượn) fan/người sùng đạo,N,1,,,
饭店,飯店,fàn diàn,"nhà hàng/khách sạn/CL:家[jia1],個|个[ge4]",N,1,,,
放,放,fàng,đặt/đặt/giải phóng/giải phóng/thả ra/thả ra/bắn ra (pháo hoa),V,1,请把书放在桌子上。,Qǐng bǎ shū fàng zài zhuōzi shàng.,Vui lòng để sách lên bàn.
放学,放學,fàng xué,cho học sinh ra về vào cuối ngày học,,1,,,
放假,放假,fàng jià,có một kỳ nghỉ hoặc kỳ nghỉ,,1,,,
房间,房間,fáng jiān,"phòng/CL:間|间[jian1],個|个[ge4]",N,1,房间里很安静。,Fángjiān lǐ hěn ānjìng.,Trong phòng rất yên tĩnh.
房子,房子,fáng zi,"nhà/tòa nhà (một hoặc hai tầng)/căn hộ/phòng/CL:棟|栋[dong4],幢[zhuang4],座[zuo4],套[tao4],間|间[jian1]",N,1,,,
飞,飛,fēi,bay,V,1,,,
非常,非常,fēi cháng,rất; thực sự/bất thường; phi thường,Adv,1,这道菜非常好吃。,Zhè dào cài fēicháng hǎochī.,Món ăn này rất ngon.
飞机,飛機,fēi jī,máy bay/CL:架[jia4],N,1,飞机很快。,Fēijī hěn kuài.,Máy bay rất nhanh.
分,分,fēn,phần/cổ phần/thành phần/thành phần,N/M,1,我们八点十分出发。,Wǒmen bā diǎn shí fēn chūfā.,Chúng ta khởi hành lúc tám giờ mười phút.
风,風,fēng,"gió/tin tức/phong cách/tùy chỉnh/cách thức/CL:陣|阵[zhen4],絲|丝[si1]",N,1,,,
干,"乾,乹,干,幹,亁",gàn,thân cây/bộ phận chính của cái gì đó/để quản lý/để làm việc/để làm/có khả năng/cán bộ/để giết (tiếng lóng)/để quan hệ tình dục (thô tục)/(coll.) tức giận/khó chịu,Adj,1,天气干燥。,Tiānqì gānzào.,Thời tiết khô ráo.
干,"乾,乹,干,幹,亁",gàn,thân cây/bộ phận chính của cái gì đó/để quản lý/để làm việc/để làm/có khả năng/cán bộ/để giết (tiếng lóng)/để quan hệ tình dục (thô tục)/(coll.) tức giận/khó chịu,Adj,1,天气干燥。,Tiānqì gānzào.,Thời tiết khô ráo.
干净,乾淨,gān jìng,sạch sẽ/gọn gàng,Adj,1,房间很干净。,Fángjiān hěn gānjìng.,Phòng rất sạch sẽ.
干什么,幹什麼,gàn shén me,bạn đang làm gì vậy?/anh ấy đang làm gì vậy?,,1,,,
高,高,gāo,cao/cao/trên trung bình/ồn ào/của bạn (kính ngữ),Adj,1,他很高。,Tā hěn gāo.,Anh ấy rất cao.
告诉,告訴,gào sù,để nói; để thông báo; để cho biết,V,1,请告诉我答案。,Qǐng gàosù wǒ dá'àn.,Xin cho tôi biết đáp án.
高兴,高興,gāo xìng,vui vẻ/vui vẻ/sẵn sàng (làm điều gì đó)/có tâm trạng vui vẻ,Adj,1,我很高兴。,Wǒ hěn gāoxìng.,Tôi rất vui.
歌,"歌,謌",gē,biến thể của 歌[ge1],N,1,,,
哥哥,哥哥,gē gē,"anh trai/CL:個|个[ge4],位[wei4]",,1,哥哥在家里。,Gēge zài jiālǐ.,Anh trai đang ở nhà.
个,"個,箇",gè,biến thể của 個|个[ge4],M,1,我有一个钱包。,Wǒ yǒu yī ge qiánbāo.,Tôi có một cái ví tiền.
给,給,gěi,cung cấp/cung cấp,V/Prep,1,请给我一本书。,Qǐng gěi wǒ yī běn shū.,Xin hãy đưa cho tôi một cuốn sách.
跟,跟,gēn,gót chân/theo sát/đi cùng/(của một người phụ nữ) để kết hôn với ai đó/với/so sánh với/đến/hướng tới/và (nối hai danh từ),Prep/Conj/V,1,我跟他一起去。,Wǒ gēn tā yīqǐ qù.,Tôi đi cùng anh ấy.
工人,工人,gōng rén,"công nhân/CL:個|个[ge4],名[ming2]",N,1,工人们正在加班。,Gōngrénmen zhèngzài jiābān.,Các công nhân đang làm thêm giờ.
工作,工作,gōng zuò,"làm việc/(của một cái máy) để vận hành/công việc/công việc/nhiệm vụ/CL:個|个[ge4],份[fen4],項|项[xiang4]",V/N,1,我的工作很忙。,Wǒ de gōngzuò hěn máng.,Công việc của tôi rất bận.
关,關,guān,"đèo núi/đóng cửa; tắt; tắt/giới hạn; khóa (ai đó); đóng cửa (ai đó trong phòng, một con chim trong lồng, v.v.)/quan tâm; liên quan",V,1,请关门。,Qǐng guān mén.,Vui lòng đóng cửa.
关上,關上,guān shàng,"đóng (cửa)/tắt (đèn, thiết bị điện, v.v.)",,1,,,
贵,貴,guì,đắt tiền/cao quý/quý giá/(vinh dự) của bạn,Adj,1,这件衣服很贵。,Zhè jiàn yīfú hěn guì.,Cái áo này rất đắt.
国,國,guó,quốc gia; Quốc gia; bang (CL:個|个[ge4])/(dạng ràng buộc) quốc gia,N,1,,,
过,過,guò,(dấu hiệu hành động có kinh nghiệm),V,1,请过安检门。,Qǐng guò ānjiǎn mén.\,Mời đi qua cửa an ninh.
国家,國家,guó jiā,quốc gia; Quốc gia; bang/CL:個|个[ge4],N,1,我爱我的国家。,Wǒ ài wǒ de guójiā.,Tôi yêu đất nước của tôi.
国外,國外,guó wài,ở nước ngoài/bên ngoài (công việc)/ở nước ngoài/nước ngoài,,1,,,
还,還,hái,trả lại/trả lại,Adv,1,我还想要一杯水。,Wǒ hái xiǎng yào yī bēi shuǐ.,Tôi còn muốn một cốc nước.
还,還,hái,trả lại/trả lại,Adv,1,我还想要一杯水。,Wǒ hái xiǎng yào yī bēi shuǐ.,Tôi còn muốn một cốc nước.
还有,還有,hái yǒu,hơn nữa/ngoài ra/vẫn/cũng,,1,,,
还是,還是,hái shì,vẫn (như trước)/tốt hơn/bất ngờ/hoặc,Adv/Conj,1,你还是学生吗？,Nǐ háishì xuéshēng ma?,Bạn vẫn là học sinh à?
孩子,孩子,hái zi,đứa trẻ,N,1,孩子们都在玩。,Háizimen dōu zài wán.,Những đứa trẻ đang chơi.
汉语,漢語,hàn yǔ,Tiếng Trung/CL:門|门[men2],N,1,我在学汉语。,Wǒ zài xué Hànyǔ.,Tôi đang học tiếng Trung.
汉字,漢字,hàn zì,Hán tự/CL:個|个[ge4]/Nhật: kanji/Hàn: hanja/Tiếng Việt: hán tự,N,1,,,
好吃,好吃,hǎo chī,thích ăn/tham ăn,Adj,1,这道菜很好吃。,Zhè dào cài hěn hǎo chī.,Món ăn này rất ngon.
好,好,hǎo,thích; có xu hướng; dễ bị,Adj,1,他很好。,Tā hěn hǎo.,Anh ấy rất tốt.
号,號,hào,số thứ tự/ngày trong tháng/dấu hiệu/biển báo/cơ sở kinh doanh/kích thước/hậu tố tàu/kèn (nhạc cụ hơi)/tiếng kèn/tên giả định/để bắt mạch/phân loại dùng để chỉ số người,N/M,1,你的手机号是多少？,Nǐ de shǒujī hào shì duōshǎo?,Số điện thoại của bạn là bao nhiêu?
好看,好看,hǎo kàn,"đẹp trai/xinh xắn/tốt (trong phim, sách, chương trình truyền hình, v.v.)/xấu hổ/bị làm nhục",Adj,1,,,
好听,好聽,hǎo tīng,thật thú vị khi nghe,Adj,1,,,
好玩儿,好玩兒,hǎo wán ér,biến thể đàn nhị của 好玩[hao3 wan2],Adj,1,,,
和,"和,咊,龢",hé,biến thể cũ của 和[he2]/harmonious,Prep/Conj,1,我和你一起去。,Wǒ hé nǐ yīqǐ qù.,Tôi và bạn cùng đi.
喝,喝,hē,hét lên,V,1,我喝水。,Wǒ hē shuǐ.,Tôi uống nước.
很,很,hěn,(trạng từ chỉ mức độ)/khá/rất/tệ,Adv,1,这个苹果很甜。,Zhège píngguǒ hěn tián.,Quả táo này rất ngọt.
后,"後,后",hòu,trở lại/phía sau/phía sau/sau đó/sau/sau đó/sau-,N,1,,,
后边,後邊,hòu biān,phía sau; phía sau; phần cuối cùng/phía sau; gần cuối; ở phía sau/sau đó; sau đó,N,1,,,
后天,後天,hòu tiān,"ngày sau ngày mai/cuộc sống sau khi sinh (thời kỳ mà một người phát triển thông qua những trải nghiệm, trái ngược với 先天[xian1 tian1])/thu được (không phải bẩm sinh hay bẩm sinh)/sau này",N,1,,,
话,"話,諙",huà,biến thể cũ của 話|话[hua4],N,1,,,
花,"花,芲,蘤",huā,biến thể của 花[hua1]/hoa/hoa/cũng là pr. [wei3],N,1,这里的花开得很美。,Zhèlǐ de huā kāi de hěn měi.,Hoa ở đây nở rất đẹp.
坏,壞,huài,xấu/hư hỏng/hỏng/phá vỡ/(hậu tố) đến mức tối đa,Adj,1,我的手机坏了。,Wǒ de shǒujī huài le.,Điện thoại của tôi bị hỏng rồi.
回,"回,迴,逥",huí,biến thể của 迴|回[hui2],V,1,我回家了。,Wǒ huí jiā le.,Tôi đã về nhà.
回答,回答,huí dá,trả lời; trả lời/trả lời; trả lời,V/N,1,请回答我的问题。,Qǐng huídá wǒ de wèntí.,Xin trả lời câu hỏi của tôi.
回到,回到,huí dào,để trở về,V,1,,,
回家,回家,huí jiā,để trở về nhà,,1,,,
会,會,huì,cân bằng một tài khoản/kế toán/kế toán viên,V,1,我会说汉语。,Wǒ huì shuō Hànyǔ.,Tôi biết nói tiếng Trung.
回来,回來,huí lái,trở về; quay trở lại,,1,,,
回去,回去,huí qù,trở về/quay lại,,1,,,
火车,火車,huǒ chē,"train/CL:列[lie4],節|节[jie2],班[ban1],趟[tang4]",N,1,,,
记,記,jì,"ghi lại/ghi chú/ghi nhớ/ghi nhớ/đánh dấu/ký/phân loại cho các cú đánh, cú đá, cú bắn",V,1,,,
机场,機場,jī chǎng,"sân bay; nhà cung cấp dịch vụ sân bay/(tiếng lóng) cho Shadowsocks hoặc phần mềm tương tự để vượt qua kiểm duyệt Internet/CL:家[jia1],處|处[chu4]",N,1,机场离这里很近。,Jīchǎng lí zhèlǐ hěn jìn.,Sân bay gần đây.
鸡蛋,雞蛋,jī dàn,"(gà) trứng/trứng gà mái/CL:個|个[ge4],打[da2]",N,1,我喜欢吃鸡蛋。,Wǒ xǐhuān chī jīdàn.,Tôi thích ăn trứng.
记得,記得,jì de,để nhớ,V,1,请记得带钥匙。,Qǐng jìdé dài yàoshi.,Hãy nhớ mang theo chìa khóa.
几,"幾,几",jǐ,bao nhiêu/bao nhiêu/vài/một vài,Num/Pron,1,你有几个苹果？,Nǐ yǒu jǐ ge píngguǒ?,Bạn có mấy quả táo?
机票,機票,jī piào,vé máy bay/vé hành khách/CL:張|张[zhang1],N,1,,,
记住,記住,jì zhù,ghi nhớ/ghi nhớ/học thuộc lòng,,1,,,
