simplified_chinese,traditional_chinese,pinyin_latin,pinyin_zhuyin,pinyin_vietnamese,level,vietnamese_meaning,chinese_explanation,example_sentence_chinese,example_sentence_pinyin,example_sentence_vietnamese,grammar_pattern,related_compounds,radical_info,stroke_count,stroke_order,popularity
半年,上半年,bànnián,ㄅㄢˋㄋㄧㄢˊ,bán niên,3,nửa năm,一年的一半,她每半年才探望一次父母。【她每半年才/纔探望一次父母。】,tā měi bànnián cái tànwàng yīcì fùmǔ.,Cứ nửa năm cô ấy mới lại về thăm bố mẹ.,,上半年THƯỢNG BÁN NIÊN; 下半年HẠ BÁN NIÊN; 半年闲【半年閒】BÁN NIÊN NHÀN,THẬP 十Số nét: 5,5,丶ノ一一丨,
半天,大半天,bàntiān,ㄅㄢˋㄊㄧㄢ,bán thiên,3,buổi; nửa ngày; rất lâu; cả buổi; hồi lâu,以正午为界划分出的半个白天【以正午為界劃分齣的半個白天】,我今天要工作半天。,wǒ jīntiān yào gōngzuò bàntiān.,Hôm nay tôi phải làm việc nửa ngày.,Chủ ngữ + Động từ + 了 + 半天,大半天ĐẠI BÁN THIÊN; 上半天THƯỢNG BÁN THIÊN; 下半天HẠ BÁN THIÊN; 一半天NHẤT BÁN THIÊN; 半日BÁN NHẬT,THẬP 十Số nét: 5,5,丶ノ一一丨,
帮,姓,bāng,ㄅㄤ,bang,3,giúp; giúp đỡ; trợ giúp; làm thuê; làm mướn; mạn; mép; thành; bẹ (lớp ngoài của cây rau); lũ; bọn; đàn; băng; bè lũ; tập đoàn; họ Bang; bọn; đám; đội; tốp; nhóm,帮助【幫助】,她每天都去那儿帮工。【她每天都去那兒幫工。】,nǐ néng bāng wǒ yīgè máng ma?,Bạn có thể giúp tôi một việc được không?,,帮助【幫助】BANG TRỢ; 帮忙【幫忙】BANG MANG; 帮手【幫手】BANG THỦ; 穿帮【穿幫】XUYÊN BANG; 助TRỢ,CÂN 巾Số nét: 9,9,一一一ノフ丨丨フ丨,
帮忙,帮帮忙,bāngmáng,ㄅㄤㄇㄤˊ,bang mang,3,giúp; giúp đỡ,（帮忙儿）帮助别人做事，泛指在别人有困难的时候给予帮助【幫忙兒幫助別人做事，氾指在別人有睏難的時候給予幫助】,他需要你的帮忙。【他需要你的幫忙。】,tā xūyào nǐ de bāngmáng.,Anh ấy cần sự giúp đỡ của bạn.,,帮帮忙【幫幫忙】BANG BANG MANG; 帮忙儿【幫忙兒】BANG MANG NHI; 破坏【破壞】PHÁ HOẠI; 捣乱【搗亂】ĐẢO LOẠN; 扯后腿【扯後腿】XẢ HẬU THỐI,CÂN 巾Số nét: 9,9,一一一ノフ丨丨フ丨,
包,姓,bāo,ㄅㄠ,bao,3,"bao; bọc; đùm; quấn; gói ghém; ôm; bao bọc; bao vây; bao quanh; vây quanh; bao gồm; bao quát; nhận; thầu; khoán; độc quyền; bảo đảm; đảm bảo; cam đoan; chắn chắn; bao; đặt riêng; thuê riêng; nuôi; bao nuôi; bao; đùm; gói; túi; ví; cặp; túi; cục; cái u; cái bướu; lều (mái tròn); đồ; kẻ; đứa; người (dùng sau động từ hoặc tính từ, chỉ người có đặc điểm nào đó); họ Bao; bao; bọc; gói; túi",用纸、布或其他薄片把东西裹起来【用紙、佈或其他薄片把東西裹起來】,头上包着一条白毛巾。【頭上包著一條白毛巾。】,tóushang bāozhe yītiáo bái máojīn.,Trên đầu quấn khăn lông trắng.,包 + 得/不 + 住/好,包裹BAO KHOẢ; 面包【麵包】DIỆN.MIẾN BAO; 包子BAO TỬ; 包括BAO QUÁT; 装【裝】TRANG,BAO 勹Số nét: 5,5,ノフフ一フ,
包子,土包子,bāozi,ㄅㄠㄗ˙,bao tử,3,bánh bao,食品，用菜、肉或糖等做馅儿，用发面做皮，包成后，蒸熟【食品，用菜、肉或醣等做餡兒，用髮/發麵做皮，包成後，蒸熟】,,nǐ xiǎng chī bāo zi hái shì jiǎozi?,Cậu muốn ăn bánh bao hay ăn bánh chẻo.,Số từ + 笼/盘/斤/个 + 包子,土包子THỔ BAO TỬ; 肉包子NHỤC BAO TỬ; 大包子ĐẠI BAO TỬ; 菜包子THÁI BAO TỬ,BAO 勹Số nét: 5,5,ノフフ一フ,
杯,姓,bēi,ㄅㄟ,bôi,3,"ly; cốc; chén; tách; cúp (giải thưởng hình ly, cốc); họ Bôi; ly; cốc",杯子【盃子】,我喜欢这个杯子。【我喜歡這個盃子。】,wǒ xǐhuan zhège bēizi.,Tôi thích chiếc cốc này.,,杯子【盃子】BÔI TỬ; 干杯【幹盃】CAN BÔI; 举杯【舉盃】CỬ BÔI; 奖杯【獎盃】TƯỞNG BÔI,MỘC 木Số nét: 8,8,一丨ノ丶一ノ丨丶,
北,姓,běi,ㄅㄟˇ,bắc,3,bắc; phía bắc; miền Bắc; họ Bắc; bại; thua trận (văn viết),方位词，四个主要方向之一，清晨面对太阳时左手的一边【方位詞，四個主要方嚮之一，清晨麵對太陽時左手的一邊】,我们一直往北走吧。【我們一直往北走吧。】,wǒmen yīzhí wǎng běi zǒu ba.,Chúng ta cứ đi tiếp về phía bắc đi.,,北京BẮC KINH; 北边【北邊】BẮC BIÊN; 北方BẮC PHƯƠNG; 北江BẮC GIANG; 南NAM,TỶ 匕Số nét: 5,5,丨一一ノフ,
北边,南方,běibian,ㄅㄟˇㄅㄧㄢ,bắc biên,3,phía bắc,靠北的一边【靠北的一邊】,学校在城市的北边。【學校在城市的北邊。】,xuéxiào zài chéngshì de běibian.,Trường học nằm ở phía bắc của thành phố.,Danh từ + 的 + 北边,北边廊【北邊廊】BẮC BIÊN LANG; 北边儿【北邊兒】BẮC BIÊN NHI; 南方NAM PHƯƠNG; 南边【南邊】NAM BIÊN; 北方BẮC PHƯƠNG,TỶ 匕Số nét: 5,5,丨一一ノフ,
北京,北京市,běijīng,ㄅㄟˇㄐㄧㄥ,bắc kinh,3,Bắc Kinh; Beijing (thủ đô Trung Quốc),中国的首都，位于中国的东北部建于公元前700年，该城市是主要的商业、工业与文化中心内城中有紫禁城【中國的首都，位於中國的東北部建於公元前年，該城市是主要的商業、工業與文化中心內城中有紫禁城】,这趟车开往北京。【這趟車開往北京。】,zhètàng chē kāiwǎng běijīng.,Chuyến tàu này đi Bắc Kinh,,北京市BẮC KINH THỊ; 北京人BẮC KINH NHÂN; 北京话【北京話】BẮC KINH THOẠI; 北京咳BẮC KINH KHÁI; 首都THỦ ĐÔ,TỶ 匕Số nét: 5,5,丨一一ノフ,
杯子,瓶子,bēizi,ㄅㄟㄗ˙,bôi tử,3,cốc; chén; ly; tách,盛饮料或其他液体的器具，多为圆柱状或下部略细，一般容积不大【盛飲料或其他液體的器具，多為圓柱狀或下部略細，一般容積不大】,桌子上有六个杯子。【桌子上有六個盃子。】,zhuōzi shàng yǒu liù gè bēizi.,Trên bàn có sáu chiếc cốc.,Số từ + 个/只/种 + 杯子,洗杯子【洗盃子】TẨY BÔI TỬ; 杯子水壶【盃子水壺】BÔI TỬ THỦY HỒ; 瓶子BÌNH TỬ,MỘC 木Số nét: 8,8,一丨ノ丶一ノ丨丶,
本,版本,běn,ㄅㄣˇ,bản,3,"rễ; gốc; thân (cây cỏ); căn bản; căn nguyên; cội nguồn; nguồn gốc; vốn; tiền gốc; tiền vốn; vốn liếng; căn cứ; dựa vào; dựa theo; sổ; vở; tập; bản (in; khắc; viết); bản gốc; bản chính; kịch bản (lĩnh vực sân khấu, điện ảnh); tấu; bản tấu (thời phong kiến); họ Bản; chính; chủ yếu; trọng tâm; quan trọng; ban đầu; lúc đầu; vốn; lẽ ra; vốn dĩ; vốn là; tôi; chúng tôi; phía mình; thuộc về mình; nay; này; bây giờ; hiện nay; theo; căn cứ; vở; tập; cuốn; quyển (dùng cho sách vở sổ sách); vở; bản (dùng trong hí khúc; kịch); tập (dùng cho phim dài nhiều tập); cây (văn viết, dùng cho hoa và cây cối)",草木的茎或根【草木的莖或根】,这棵树的本很粗壮。【這棵樹的本很粗壯。】,zhè kē shù de běn hěn cūzhuàng.,Gốc của cái cây này rất to khỏe.,,本来【本來】BẢN LAI; 日本NHẬT BẢN; 基本CƠ BẢN; 根本CĂN BẢN; 末MẠT,MỘC 木Số nét: 5,5,一丨ノ丶一,
本子,版本,běnzi,ㄅㄣˇㄗ˙,bản tử,3,vở; tập; cuốn vở; bản; phần; giấy phép; chứng chỉ; kịch bản,把成沓的纸装订在一起而成的东西;册子【把成沓的紙裝訂在一起而成的東西;冊子】,我同学有许多本子。【我衕學有許多本子。】,wǒ tóngxué yǒu xǔduō běnzi.,Các bạn cùng lớp của tôi có rất nhiều vở.,,结算本子【結算本子】KẾT TOÁN BẢN TỬ; 簿子BỘ TỬ,MỘC 木Số nét: 5,5,一丨ノ丶一,
比,仿照,bǐ,ㄅㄧˇ,tỉ,3,so; hơn; so với; đọ; so đo; so sánh; như; tương tự; sánh bằng; ngang với; ra dấu; ra hiệu (diễn tả bằng điệu bộ); nhắm vào; nhằm vào; hướng vào (từ địa phương); noi theo; mô phỏng; phỏng theo; so; ví; ví von; chia (toán học); tỉ số; tỷ lệ; họ Tỉ; kề; sát; kề sát; dựa sát (văn viết); cấu kết; dựa vào; phụ thuộc; nương tựa; dạo này; gần đây; đến khi; đợi đến; đọc là [bì],用来比较性状和程度的差别【用來比較性狀和程度的差別】,这本书比那本书厚。【這本書比那本書厚。】,zhè běn shū bǐ nà běn shū hòu.,Cuốn sách này dày hơn cuốn sách kia.,A + 比 + B + Tính từ (+số lượng/一点/一些/多了/得多)/ Động từ trạng thái tâm lý,比较【比較】TỈ GIẾU.GIẢO; 比赛【比賽】TỈ TÁI.TRẠI; 比如TỈ NHƯ; 对比【對比】ĐỐI TỈ,TỶ 比Số nét: 4,4,一フノフ,
别,另外,bié,ㄅㄧㄝˊ,biệt,3,"xa cách; biệt ly; chia ly; phân ly; chia lìa; quay; xoay; chuyển biến; xoay chuyển; chuyển động (từ địa phương); phân biệt; phân tách; cài; cắm; gài; kẹt; chốt; giắt; cài; kẹp; đính; ghim; gạt; chặn; ngáng; ép; chèn; tạt đầu (xe); khác; cái khác; sự khác biệt; thứ; loại; hạng; phái; họ Biệt; chớ; đừng; không được (biểu thị cấm đoán hoặc can ngăn); có lẽ; hẳn là; hay là; chắc là (phỏng đoán, thường là điều bản thân không mong muốn)",分离【分離】,久别重逢真是开心。【久別重逢真是開心。】,jiǔbié chóngféng zhēnshì kāixīn.,Xa nhau lâu ngày gặp lại thật là vui.,,特别【特別】ĐẶC BIỆT; 别的【別的】BIỆT ĐÍCH; 分别【分別】PHÂN BIỆT; 区别【區別】KHU BIỆT,ĐAO 刀Số nét: 7,7,丨フ一フノ丨丨,
别的,另外,bié de,ㄅㄧㄝˊㄉㄜ˙,biệt đích,3,khác; cái khác,指其他的；另外的,别的人都已经走了。【別的人都已經走了。】,bié de rén dōu yǐjīng zǒule.,Những người khác đều đã đi rồi.,别的 + Danh từ,别的不说【別的不説】BIỆT ĐÍCH BẤT THUYẾT; 另外LÁNH NGOẠI; 此外THỬ NGOẠI; 其余【其餘】KỲ DƯ; 其它KỲ XÀ.THA,ĐAO 刀Số nét: 7,7,丨フ一フノ丨丨,
别人,自己,biérén,ㄅㄧㄝˊㄖㄣˊ,biệt nhân,3,"người khác; mọi người khác (chỉ những người khác, không phải mình); người ta (chỉ người khác một cách chung chung, không cụ thể)",指其他人，不是自己。,指其他人，不是自己。,"biérén dōu qùle, tā méi qù.","Mọi người khác đều đi rồi, anh ấy không đi.",,送给别人【送給別人】TỐNG CẤP BIỆT NHÂN; 不如别人【不如別人】BẤT NHƯ BIỆT NHÂN; 自己TỰ KỈ; 本人BẢN NHÂN; 他人THA NHÂN,ĐAO 刀Số nét: 7,7,丨フ一フノ丨丨,
病,生病,bìng,ㄅㄧㄥˋ,bệnh,3,bệnh; ốm đau; bệnh tật; lỗi; tật; lỗi lầm; sai lầm; khuyết điểm; tác hại; việc tham ô; bị ốm; bị bệnh; có hại; làm hại; tổn hại; ảnh hưởng (văn viết); bất mãn; chỉ trích; quở mắng; không hài lòng (văn viết),生理上或心理上出现的不健康；不正常状态【生理上或心理上齣現的不健康；不正常狀態】,她因心脏病而住院了。【她因心髒病而住院了。】,tā yīn xīnzàngbìng ér zhùyuàn le.,Cô ấy nhập viện vì bệnh tim.,,生病SINH.SANH BỆNH; 毛病MAO BỆNH; 疾病TẬT BỆNH; 看病KHÁN BỆNH,NẠCH 疒Số nét: 10,10,丶一ノ丶一一丨フノ丶,
病人,看望病人,bìngrén,ㄅㄧㄥˋㄖㄣˊ,bệnh nhân,3,bệnh nhân; người bệnh,生病的人；受治疗的人【生病的人；受治療的人】,病人需要及时治疗。【病人需要及時治療。】,bìngrén xūyào jíshí zhìliáo.,Bệnh nhân cần được điều trị kịp thời.,Động từ + 病人,看望病人KHÁN VỌNG BỆNH NHÂN; 危重病人NGUY TRỌNG BỆNH NHÂN; 医生【醫生】Y SINH.SANH; 患者HOẠN GIẢ; 病患BỆNH HOẠN,NẠCH 疒Số nét: 10,10,丶一ノ丶一一丨フノ丶,
不大,不大方,bù dà,ㄅㄨˋㄉㄚˋ,bất đại,3,ít khi; hiếm khi; không quá; không ... lắm; chắng ... lắm; chẳng ... mấy,不经常【不經常】,他不大看电影。【他不大看電影。】,tā bù dà kàn diànyǐng.,Anh ấy ít khi xem phim.,,不大离【不大離】BẤT ĐẠI LI; 不大方BẤT ĐẠI PHƯƠNG; 时候不大【時候不大】THÌ HẬU BẤT ĐẠI; 不大不小BẤT ĐẠI BẤT TIỂU,NHẤT 一Số nét: 4,4,一ノ丨丶,
不对,不正常,bùduì,ㄅㄨˋㄉㄨㄟˋ,bất đối,3,sai; không đúng; không chính xác; bất thường; không bình thường; không ổn; bất hoà; không hợp,不正确;错误【不正確;錯誤】,她没有什么不对的地方。【她沒有什麼不對的地方。】,tā méiyǒu shén me bùduì de dìfāng.,cô ấy chẳng có chỗ nào sai cả,,不对劲【不對勁】BẤT ĐỐI KÌNH; 对不对【對不對】ĐỐI BẤT ĐỐI; 不对头【不對頭】BẤT ĐỐI ĐẦU; 不对称【不對稱】BẤT ĐỐI XƯNG; 正确【正確】CHÍNH XÁC,NHẤT 一Số nét: 4,4,一ノ丨丶,
不,不管,bù,ㄅㄨˋ,bất,3,"chả; chẳng; không (đứng trước động từ, tính từ, phó từ khác); vô; bất; phi; không (thêm vào trước danh từ hoặc ngữ danh từ để tạo thành tính từ); không (dùng để trả lời); không (từ địa phương, dùng ở cuối câu, biểu thị câu hỏi); đừng; không; không cần; không phải (dùng trong một số lời xã giao)",用在动词、形容词和其他副词前面表示否定【用在動詞、形容詞和其他副詞前麵錶示否定】,他们不喜欢这首歌。【他們不喜歡這首歌。】,tāmen bù xǐhuan zhè shǒu gē.,Họ không thích bài hát này.,Động từ + 不 + Động từ/ Tính từ,不过【不過】BẤT QUÁ; 不错【不錯】BẤT THÁC; 不仅【不僅】BẤT CẨN; 不管BẤT QUẢN; 没有【沒有】MỘT HỮU,NHẤT 一Số nét: 4,4,一ノ丨丶,
不客气,,bù kèqi,ㄅㄨˋㄎㄜˋㄑㄧˋ,bất khách khí,3,không có gì; đừng khách sáo; không cần đâu; không dám phiền; thô lỗ; không lịch sự; thẳng thắn; không khách sáo,表示不用谢的客套话，意思是“你不用感谢”。【錶示不用謝的客套話，意思是你不用感謝】,表示不用谢的客套话，意思是“你不用感谢”。【錶示不用謝的客套話，意思是你不用感謝】,"tā xièxiè wǒ, wǒ bù kèqi.","Anh ấy cảm ơn tôi, tôi nói không có gì.",,,NHẤT 一Số nét: 4,4,一ノ丨丶,
不用,不用找,bùyòng,ㄅㄨˋㄩㄥˋ,bất dụng,3,không cần; khỏi cần; khỏi phải,表示事实上没有必要【錶示事實上沒有必要】,我们不用经过那儿。【我們不用經過那兒。】,wǒmen bùyòng jīngguò nàr.,Chúng ta không cần phải đi qua đó.,不用 + Động từ,不用谢【不用謝】BẤT DỤNG TẠ; 不用说【不用説】BẤT DỤNG THUYẾT; 不用找BẤT DỤNG TRẢO; 不用客气【不用客氣】BẤT DỤNG KHÁCH KHÍ; 必须【必須】TẤT TU,NHẤT 一Số nét: 4,4,一ノ丨丶,
菜,姓,cài,ㄘㄞˋ,thái,3,rau (thực vật có thể làm thức ăn); đồ ăn; món ăn; thức ăn; họ Thái; gà; tệ; kém; kém cỏi (khẩu ngữ); chỉ một thứ gì chuyên dùng để ăn; cải dầu; cải vàng,可以用作副食的植物；蔬菜,我今天买了很多菜。【我今天買了很多菜。】,wǒ jīntiān mǎile hěnduō cài.,Hôm nay tôi đã mua rất nhiều rau.,这/Số từ + 种/斤/棵 + 菜,蔬菜SƠ THÁI; 菜单【菜單】THÁI ĐƠN; 青菜THANH THÁI; 菜肴【菜餚】THÁI HÀO,THẢO 艸Số nét: 11,11,一丨丨ノ丶丶ノ一丨ノ丶,
茶,茶色,chá,ㄔㄚˊ,trà,3,cây chè; trà (đồ uống); sính lễ; lễ vật đính hôn (ngày xưa lễ vật đính hôn thường dùng trà); màu trà; màu nâu trà; trà ... (tên gọi của một số đồ uống); cây chè dầu; cây dầu trà; sơn trà; cây sơn trà; họ Trà,"常绿木本植物,叶子长椭圆形,花一般为白色,种子有硬壳。嫩叶加工后就是茶叶。是我国南方重要的经济作物【常綠木本植物,葉子長橢圓形,花一般為白色,種子有硬殼。嫩葉加工後就是茶葉。是我國南方重要的經濟作物】","常绿木本植物,叶子长椭圆形,花一般为白色,种子有硬壳。嫩叶加工后就是茶叶。是我国南方重要的经济作物【常綠木本植物,葉子長橢圓形,花一般為白色,種子有硬殼。嫩葉加工後就是茶葉。是我國南方重要的經濟作物】",shānshang yǒu hěnduō cháshù.,Trên núi có nhiều cây chè.,,奶茶NÃI TRÀ; 茶叶【茶葉】TRÀ DIỆP; 绿茶【綠茶】LỤC TRÀ; 喝茶HÁT TRÀ,THẢO 艸Số nét: 9,9,一丨丨ノ丶一丨ノ丶,
差,差距,chā,ㄔㄚˋ,sai,3,"hiệu; hiệu số (toán học); lỗi; sai sót; sai lầm; sai lệch; kém; lệch; khác; không đạt (tiêu chuẩn, yêu cầu); suýt; hơi; tạm; gần như",两数相减的余数【兩數相減的餘數】,六和三的差是三。,liù hé sān de chā shì sān.,Hiệu của 6 và 3 là 3.,A + 和/减 + B + 的差 + 是/等于 + C,出差【齣差】XUẤT SAI; 差异【差異】SAI DỊ; 差距SAI CỰ; 时差【時差】THÌ SAI; 和HOÀ,CÔNG 工Số nét: 9,9,丶ノ一一一ノ一丨一,
常,姓,cháng,ㄔㄤˊ,thường,3,quy tắc; trật tự; luân thường; họ Thường; chung; bình thường; thông thường; phổ biến; cố định; bền vững; ổn định; không thay đổi; thường; thường xuyên,指伦常【指倫常】,遵守伦常是每个人的责任。【遵守倫常是每個人的責任。】,zūnshǒu lúncháng shì měi gèrén de zérèn.,Tuân thủ luân thường là trách nhiệm của mỗi người.,常 + Động từ（去、做、听、看...）,非常PHI THƯỜNG; 经常【經常】KINH THƯỜNG; 正常CHÍNH THƯỜNG; 常常THƯỜNG THƯỜNG; 偶尔【偶爾】NGẪU NHĨ,CÂN 巾Số nét: 11,11,丨丶ノ丶フ丨フ一丨フ丨,
唱,唱歌,chàng,ㄔㄤˋ,xướng,3,hát; ca; kêu; hét; gọi to; bài hát; lời ca; họ Xướng,口中发乐音、依旋律发声【口中髮/發樂音、依旋律髮/發聲】,她喜欢在家里唱歌。【她喜歡在傢裡/裏唱歌。】,tā xǐhuan zài jiālǐ chànggē.,Cô ấy thích hát ở nhà.,唱 + Tân ngữ,唱歌XƯỚNG CA; 演唱DIỄN XƯỚNG; 唱片XƯỚNG PHIẾN; 歌唱CA XƯỚNG; 和HOÀ,KHẨU 口Số nét: 11,11,丨フ一丨フ一一丨フ一一,
常常,平平常常,chángcháng,ㄔㄤˊㄔㄤˊ,thường thường,3,thường; thường thường,表示动作行为发生的次数多【錶示動作行為髮/發生的次數多】,他常常去公园散步。【他常常去公園散步。】,tā chángcháng qù gōngyuán sànbù.,Anh ấy thường xuyên đi dạo công viên.,Chủ ngữ + 常常 + Động từ,平平常常BÌNH BÌNH THƯỜNG THƯỜNG; 偶尔【偶爾】NGẪU NHĨ; 经常【經常】KINH THƯỜNG; 时常【時常】THÌ THƯỜNG; 时时【時時】THÌ THÌ,CÂN 巾Số nét: 11,11,丨丶ノ丶フ丨フ一丨フ丨,
唱歌,演唱,chànggē,ㄔㄤˋㄍㄜ,xướng ca,3,hát; ca hát; hát xướng,以抑扬有节奏的音调发声; 口中发出 (乐音); 依照乐律发出声音【以抑揚有節奏的音調髮/發聲;口中髮/發齣(樂音);依照樂律髮/發齣聲音】,她一高兴就唱歌。【她一高興就唱歌。】,tā yī gāoxìng jiù chànggē.,Cô ấy hễ vui là hát.,唱歌 + 给 + A + 听,唱歌儿【唱歌兒】XƯỚNG CA NHI; 悲鸣【悲鳴】BI MINH; 歌曲【歌麴】CA KHÚC; 演唱DIỄN XƯỚNG; 歌唱CA XƯỚNG,KHẨU 口Số nét: 11,11,丨フ一丨フ一一丨フ一一,
